0	5.675
1	5.485
2	4.924
3	4.201
4	3.451
5	2.748
6	2.277
7	2.329
8	2.889
9	3.667
10	4.49
11	5.187
12	5.605
13	5.634
14	5.259
15	4.617
16	3.85
17	3.07
18	2.408
19	2.092
20	2.324
21	3.02
22	3.956
23	4.857
24	5.505
25	5.789
26	5.593
27	4.969
28	4.176
29	3.359
30	2.611
31	2.11
32	2.132
33	2.68
34	3.539
35	4.484
36	5.252
37	5.727
38	5.786
39	5.341
40	4.587
41	3.721
42	2.879
43	2.181
44	1.865
45	2.196
46	3.021
47	4.04
48	5.023
49	5.743
50	6.049
51	5.77
52	5.035
53	4.12
54	3.196
55	2.414
56	1.907
57	1.967
58	2.646
59	3.608
60	4.625
61	5.461
62	5.931
63	5.929
64	5.388
65	4.508
66	3.535
67	2.655
68	1.962
69	1.709
70	2.187
71	3.183
72	4.325
73	5.341
74	6.062
75	6.279
76	5.839
77	4.967
78	3.927
79	2.923
80	2.104
81	1.675
82	1.927
83	2.756
84	3.835
85	4.935
86	5.794
87	6.219
88	6.019
89	5.26
90	4.262
91	3.243
92	2.354
93	1.703
94	1.67
95	2.387
96	3.494
97	4.72
98	5.769
99	6.378
100	6.364
101	5.686
102	4.671
103	3.57
104	2.573
105	1.814
106	1.557
107	2.022
108	2.989
109	4.176
110	5.299
111	6.071
112	6.29
113	5.841
114	4.934
115	3.851
116	2.803
117	1.951
118	1.5
119	1.775
120	2.703
121	3.933
122	5.178
123	6.11
124	6.513
125	6.234
126	5.39
127	4.284
128	3.132
129	2.173
130	1.544
131	1.523
132	2.213
133	3.361
134	4.657
135	5.716
136	6.321
137	6.289
138	5.592
139	4.546
140	3.404
141	2.405
142	1.688
143	1.534
144	2.108
145	3.182
146	4.48
147	5.644
148	6.397
149	6.563
150	6.002
151	4.985
152	3.785
153	2.672
154	1.815
155	1.404
156	1.711
157	2.647
158	3.927
159	5.19
160	6.038
161	6.347
162	6.042
163	5.172
164	4.052
165	2.96
166	2.105
167	1.616
168	1.759
169	2.591
170	3.801
171	5.081
172	6.093
173	6.579
174	6.434
175	5.668
176	4.526
177	3.308
178	2.334
179	1.681
180	1.533
181	2.128
182	3.262
183	4.554
184	5.63
185	6.237
186	6.232
187	5.59
188	4.616
189	3.534
190	2.562
191	1.869
192	1.639
193	2.087
194	3.097
195	4.379
196	5.536
197	6.284
198	6.516
199	6.072
200	5.116
201	3.973
202	2.894
203	2.042
204	1.609
205	1.832
206	2.643
207	3.798
208	5.019
209	5.878
210	6.186
211	5.901
212	5.111
213	4.091
214	3.064
215	2.291
216	1.865
217	1.915
218	2.582
219	3.677
220	4.88
221	5.85
222	6.333
223	6.235
224	5.566
225	4.561
226	3.491
227	2.584
228	1.936
229	1.76
230	2.266
231	3.252
232	4.391
233	5.368
234	5.938
235	5.973
236	5.47
237	4.624
238	3.663
239	2.823
240	2.231
241	1.978
242	2.287
243	3.126
244	4.22
245	5.261
246	5.967
247	6.181
248	5.826
249	5.044
250	4.085
251	3.163
252	2.422
253	1.954
254	2.052
255	2.756
256	3.739
257	4.74
258	5.481
259	5.793
260	5.636
261	5.005
262	4.163
263	3.377
264	2.737
265	2.267
266	2.199
267	2.749
268	3.652
269	4.597
270	5.396
271	5.935
272	5.992
273	5.435
274	4.627
275	3.799
276	3.023
277	2.399
278	2.193
279	2.528
280	3.217
281	4.128
282	4.978
283	5.525
284	5.639
285	5.282
286	4.687
287	3.985
288	3.294
289	2.758
290	2.458
291	2.553
292	3.126
293	3.979
294	4.842
295	5.455
296	5.74
297	5.667
298	5.119
299	4.358
300	3.626
301	2.978
302	2.515
303	2.456
304	2.869
305	3.579
306	4.37
307	4.996
308	5.325
309	5.377
310	5.087
